Day	  S		 E	  I	  R		  D
-------------------------------------------------------------
0   2798047.00      99.00       0.00      24.00       0.00
1   2797948.10      99.49       4.16     118.25       0.00
2   2797844.57     104.13       4.10     217.12       0.08
3   2797736.45     108.74       4.30     320.35       0.16
4   2797623.54     113.56       4.49     428.17       0.24
5   2797505.62     118.60       4.69     540.77       0.32
6   2797382.49     123.84       4.90     658.36       0.41
7   2797253.91     129.32       5.11     781.15       0.50
8   2797119.66     135.03       5.34     909.37       0.60
9   2796979.48     140.99       5.58    1043.26       0.70
10  2796833.12     147.20       5.82    1183.05       0.80
11  2796680.32     153.68       6.08    1329.01       0.91
12  2796520.80     160.44       6.35    1481.39       1.03
13  2796354.28     167.48       6.63    1640.46       1.15
14  2796180.46     174.83       6.92    1806.53       1.27
15  2795999.03     182.48       7.22    1979.87       1.40
16  2795809.67     190.46       7.54    2160.80       1.54
17  2795612.04     198.77       7.87    2349.65       1.68
18  2795405.80     207.43       8.21    2546.74       1.83
19  2795190.58     216.46       8.57    2752.41       1.98
20  2794966.02     225.86       8.94    2967.04       2.14
21  2794731.73     235.65       9.33    3190.99       2.31
22  2794487.29     245.85       9.73    3424.64       2.48
23  2794232.31     256.46      10.15    3668.41       2.67
24  2793966.34     267.51      10.59    3922.70       2.86
25  2793688.93     279.01      11.05    4187.95       3.06
26  2793399.63     290.98      11.52    4464.61       3.26
27  2793097.95     303.43      12.02    4753.13       3.48
28  2792783.40     316.38      12.53    5053.99       3.71
29  2792455.45     329.84      13.06    5367.70       3.94
30  2792113.58     343.84      13.62    5694.76       4.19
31  2791757.25     358.40      14.20    6035.71       4.44
32  2791385.88     373.52      14.80    6391.09       4.71
33  2790998.88     389.23      15.42    6761.47       4.99
34  2790595.67     405.55      16.07    7147.43       5.28
35  2790175.60     422.50      16.75    7549.57       5.58
36  2789738.05     440.09      17.45    7968.52       5.90
37  2789282.35     458.34      18.17    8404.91       6.22
38  2788807.83     477.27      18.93    8859.41       6.57
39  2788313.78     496.91      19.71    9332.68       6.92
40  2787799.49     517.27      20.52    9825.43       7.29
41  2787264.24     538.36      21.36   10338.36       7.68
42  2786707.26     560.21      22.23   10872.22       8.08
43  2786127.78     582.84      23.13   11427.75       8.50
44  2785525.02     606.26      24.07   12005.72       8.93
45  2784898.18     630.49      25.03   12606.92       9.39
46  2784246.42     655.54      26.03   13232.15       9.86
47  2783568.91     681.44      27.07   13882.23      10.35
48  2782864.81     708.20      28.14   14558.01      10.85
49  2782133.23     735.82      29.24   15260.32      11.38
50  2781373.31     764.34      30.38   15990.04      11.93
51  2780584.15     793.75      31.56   16748.04      12.50
52  2779764.85     824.06      32.78   17535.21      13.10
53  2778914.50     855.30      34.03   18352.46      13.71
54  2778032.18     887.45      35.32   19200.70      14.35
55  2777116.97     920.54      36.64   20080.83      15.02
56  2776167.94     954.55      38.01   20993.79      15.71
57  2775184.17     989.50      39.41   21940.50      16.42
58  2774164.73    1025.38      40.86   22921.87      17.16
59  2773108.70    1062.18      42.34   23938.85      17.93
60  2772015.16    1099.91      43.86   24992.35      18.73
61  2770883.22    1138.54      45.42   26083.27      19.55
62  2769711.98    1178.07      47.01   27212.54      20.40
63  2768500.57    1218.48      48.64   28381.02      21.29
64  2767248.14    1259.74      50.31   29589.61      22.20
65  2765953.86    1301.84      52.01   30839.14      23.15
66  2764616.93    1344.74      53.75   32130.45      24.13
67  2763236.60    1388.41      55.52   33464.34      25.14
68  2761812.12    1432.81      57.32   34841.57      26.18
69  2760342.82    1477.89      59.16   36262.87      27.26
70  2758828.07    1523.62      61.02   37728.92      28.37
71  2757267.27    1569.94      62.91   39240.37      29.52
72  2755659.90    1616.79      64.82   40797.80      30.70
73  2754005.49    1664.11      66.75   42401.73      31.92
74  2752303.66    1711.82      68.70   44052.65      33.17
75  2750554.07    1759.86      70.67   45750.93      34.47
76  2748756.49    1808.14      72.66   47496.92      35.79
77  2746910.75    1856.59      74.65   49290.86      37.16
78  2745016.79    1905.10      76.65   51132.90      38.56
79  2743074.63    1953.59      78.65   53023.13      40.00
80  2741084.40    2001.95      80.65   54961.51      41.48
81  2739046.32    2050.09      82.65   56947.95      43.00
82  2736960.74    2097.89      84.63   58982.19      44.55
83  2734828.09    2145.23      86.60   61063.93      46.14
84  2732648.96    2192.00      88.56   63192.70      47.77
85  2730424.03    2238.08      90.49   65367.96      49.44
86  2728154.11    2283.35      92.39   67589.01      51.14
87  2725840.13    2327.68      94.26   69855.06      52.88
88  2723483.16    2370.94      96.08   72165.17      54.65
89  2721084.39    2413.00      97.87   74518.29      56.45
90  2718645.14    2453.73      99.60   76913.23      58.29
